	File.Name	Valence	Arousal	Dominance	StdDev.Valenence	StdDev.Arousal	StdDev.Dominance	Tokens	Alphabetic.Token	Non.Stopword.Tokens	Recognized.Tokens	NumberCount	DTAClass	DTASubClass	year	pubPlaces	publisher	scaled.valence	scaled.arousal	scaled.dominance
44	beck_eisen03_1897	0.40167	-0.35335	0.2689	0.70325	0.54248	0.7013	459534	382801	382801	243370	13739	Fachtext	Technik	1897	Braunschweig	Salfeld	-0.0699751835191999	-1.24048776114867	0.611575468353143
45	beck_eisen04_1899	0.4279	-0.36765	0.26457	0.6873	0.52643	0.69401	350190	288144	288144	175690	15177	Fachtext	Technik	1899	Braunschweig	Brockhaus	0.183762629589591	-1.34668515403117	0.562572733092983
46	becker_arbeiter_1860	0.30349	-0.19134	0.1472	0.85159	0.71239	0.78962	24331	20901	20901	15212	85	Fachtext	Gesellschaft	1860	Basel	Steiner;Weidmann und Reich	-1.01972655565115	-0.0373381373099768	-0.765706952238429
47	beckmann_technologie_1777	0.37019	-0.23353	0.19328	0.79273	0.59869	0.61502	107983	85022	85022	54991	3505	Gebrauchsliteratur	Technik	1777	Göttingen	Lüstenöder	-0.374499253540731	-0.350657578268895	-0.244218259215753
48	beer_antonius_1697	0.30566	0.06764	0.08548	0.82175	0.72401	0.74327	7858	6409	6409	4492	1	Belletristik	Lyrik, Libretto	1697	Weißenfels	Lentner	-0.998734902793888	1.88594863252981	-1.46419397770196
49	beer_paria_1829	0.50789	-0.20205	0.15091	0.93519	0.82419	0.85747	8499	6601	6601	4272	2	Belletristik	Drama	1829	Stuttgart;Tübingen	Bibliographisches Institut	0.957551713484833	-0.116874786105189	-0.723720774913903
50	behrens_hercynia_1703	0.27135	-0.09386	0.10637	0.72409	0.74424	0.70663	73891	63798	63798	45408	834	Fachtext	Geographie	1703	Nordhausen	Winter	-1.33063518368457	0.68658646815756	-1.22778124338678
51	beier_buchhandel_1690	0.23585	0.01683	0.16643	0.74689	0.71693	0.68276	14130	12037	12037	8531	15	Fachtext	Buchwesen	1690	Jena	Brockhaus	-1.67404701614214	1.50861370019697	-0.54808048594446
52	bengel_abriss01_1751	0.3786	-0.1062	0.15061	0.81762	0.60294	0.60087	68326	56182	56182	40893	1282	Fachtext	Sonstiges	1751	Stuttgart	Selbstverlag	-0.293144506752895	0.594944801851965	-0.727115883592436
53	benner_herrnhuterey01_1746	0.36669	-0.02237	0.11498	0.80948	0.63973	0.65854	38982	31314	31314	22391	530	Fachtext	Theologie	1746	Gießen	Gebauer	-0.408356758149224	1.21749916865894	-1.13034162431288
54	benner_herrnhuterey02_1747	0.39632	-0.03386	0.14631	0.7927	0.62347	0.63426	50772	41172	41172	30406	542	Fachtext	Theologie	1747	Gießen	Bauhofer	-0.121728797706468	1.13216993479741	-0.775779107984743
55	benner_herrnhuterey03_1748	0.39246	-0.0532	0.12728	0.77013	0.62055	0.61818	56747	46277	46277	34004	584	Fachtext	Theologie	1748	Gießen	Weidmann	-0.159068788503263	0.988543530717163	-0.991142168493023
56	benner_herrnhuterey04_1748	0.32627	-0.02988	0.12571	0.74322	0.61677	0.61235	40120	33087	33087	23633	310	Fachtext	Theologie	1748	Gießen	Hoffmann	-0.79936256851359	1.16172697141785	-1.00890990391068
57	benner_meineid_1739	0.33386	0.06137	0.08869	0.89835	0.73696	0.68573	12044	9898	9898	7112	133	Gebrauchsliteratur	Theologie	1739	Frankfurt (Main);Leipzig 	Schiller	-0.725940151376887	1.83938516026595	-1.42786631484166
58	berg_ostasien01_1864	0.36128	-0.21513	0.09625	0.81531	0.68023	0.75502	142468	124934	124934	81191	696	Fachtext	Geographie	1864	Berlin	Decker	-0.460690786701209	-0.214011981832676	-1.34230957614262
59	berg_ostasien02_1866	0.34737	-0.19842	0.08864	0.81571	0.69054	0.75964	135824	119815	119815	77327	316	Fachtext	Geographie	1866	Berlin	Geßner	-0.595250183588105	-0.0899169863734787	-1.42843216628808
60	berg_ostasien03_1873	0.44946	-0.23798	0.25583	0.78877	0.63499	0.7405	164401	143320	143320	92133	700	Fachtext	Geographie	1873	Berlin	Decker	0.392324857977908	-0.383705018711351	0.463661900258387
61	berg_ostasien04_1873	0.45646	-0.2978	0.24682	0.76693	0.6245	0.73449	158945	138368	138368	86450	662	Fachtext	Geographie	1873	Berlin	Realschulbuchhandlung	0.460039867194893	-0.827951734951278	0.361695469613111
62	berg_ostasienbotanik_1866	0.32762	-0.33246	0.10219	0.7713	0.68196	0.73236	27963	21920	21920	9922	457	Fachtext	Geographie	1866	Berlin	Steffens	-0.786303245307457	-1.0853504508469	-1.27508642430767
63	berg_ostasienzoologie01_1876	0.40752	-0.33693	0.25143	0.69456	0.59797	0.70854	146708	121358	121358	72491	1381	Fachtext	Geographie	1876	Berlin	Laupp	-0.0133847829592906	-1.11854641911156	0.413866972973235
64	berg_ostasienzoologie02_1867	0.29293	-0.30648	0.12918	0.73777	0.64426	0.70439	161682	118694	118694	53233	5973	Fachtext	Geographie	1867	Berlin	Gründer;Müller	-1.12187948384135	-0.892412809791842	-0.96963981352898
65	berlepsch_alpen_1861	0.34482	-0.22444	0.06852	0.82362	0.69212	0.7744	135210	115216	115216	72858	578	Fachtext	Geographie	1861	Leipzig	N. N.	-0.619917794088578	-0.283151683072959	-1.65613078832836
66	berlin_wortblindheit_1887	0.35105	-0.24299	0.23473	0.69116	0.57021	0.69372	21910	18819	18819	11864	213	Fachtext	Medizin	1887	Wiesbaden	Voß	-0.559651435885461	-0.420911238175778	0.224872589868229
67	bernd_lebensbeschreibung_1738	0.29512	0.01682	0.17169	0.81658	0.64686	0.6977	182591	154142	154142	118771	805	Belletristik	Autobiographie	1738	Leipzig	Orell, Gessner, Füssli	-1.10069435952918	1.50853943628586	-0.488552913780848
68	beseler_kommentar_1851	0.11967	-0.04258	-0.03761	0.89043	0.70947	0.72915	260630	213245	213245	138687	3489	Fachtext	Recht	1851	Leipzig	Iversen	-2.7979226976892	1.06741180431242	-2.85720706850407
69	beseler_volksrecht_1843	0.28087	-0.12026	0.132	0.7666	0.605	0.68788	98509	87233	87233	61968	66	Fachtext	Recht	1843	Leipzig	Hirzel	-1.23854277114947	0.490529742836028	-0.937725791950769
70	bierbaum_stilpe_1897	0.36123	-0.08556	0.2933	0.70703	0.66219	0.75624	73136	59417	59417	42883	49	Belletristik	Roman	1897	Berlin	Böel;Francke	-0.461174465338473	0.748225514376073	0.887710974207164
71	bismarck_erinnerungen01_1898	0.40253	-0.12996	0.27446	0.73667	0.64774	0.71284	124513	107814	107814	72815	767	Belletristik	(Auto)biographie	1898	Stuttgart	Waisenhaus	-0.0616559109582562	0.418493749062586	0.674498149195289
72	bismarck_erinnerungen02_1898	0.417	-0.14762	0.26032	0.7549	0.64761	0.70937	100197	87687	87687	57349	664	Belletristik	(Auto)biographie	1898	Stuttgart	Laupp	0.0783206866659987	0.287343682048258	0.514475360147098
73	blum_spatziergaenge01_1774	0.31742	0.01496	0.17569	0.8433	0.63637	0.66251	31776	27105	27105	20354	52	Gebrauchsliteratur	Anstandsliteratur	1774	Berlin	Liesching	-0.884973687309351	1.49472634882003	-0.443284798067074
74	blum_spatziergaenge02_1775	0.32692	-0.02857	0.19254	0.818	0.60473	0.64271	33159	28624	28624	21527	3	Gebrauchsliteratur	Anstandsliteratur	1775	Berlin	Franckh	-0.793074746229156	1.17145554377282	-0.252592860622801
75	blumenbach_anatomie_1805	0.53109	-0.36473	0.25392	0.75224	0.62942	0.68846	73429	60883	60883	36575	1240	Fachtext	Medizin	1805	Göttingen	Klemann	1.18197860117541	-1.32500009198803	0.44204637500506
76	blumenbach_menschengeschlecht_1798	0.4887	-0.30345	0.23783	0.79422	0.66527	0.70581	71924	59362	59362	38596	913	Fachtext	Gesellschaftswissenschaften	1798	Leipzig	Unger	0.77191585250284	-0.86991084472653	0.259955379546404
77	bluntschli_staatslehre_1875	0.50971	-0.28186	0.30608	0.73204	0.54513	0.68615	194548	169407	169407	109020	1193	Fachtext	Recht	1875	Stuttgart	Sauerländer	0.97515761588125	-0.709575060647292	1.03234260391267
78	bluntschli_voelkerrecht_1868	0.22001	-0.0667	0.05618	0.84735	0.65397	0.72343	186385	159298	159298	98683	3392	Fachtext	Recht	1868	Nördlingen	Bergmann	-1.82727640842744	0.888287250723198	-1.79578292530535
79	bodmer_sammlung01_1741	0.35798	-0.04328	0.13921	0.80701	0.65552	0.66919	45263	39100	39100	28281	11	Belletristik	Lyrik; Prosa	1741	Zürich	Richter	-0.492613576760644	1.06221333053495	-0.856130013376692
80	bodmer_sammlung02_1741	0.32496	-0.01984	0.14759	0.79638	0.62653	0.67275	46362	39923	39923	28571	49	Belletristik	Lyrik; Prosa	1741	Zürich	Cotta	-0.812034948809912	1.23628793816892	-0.761293310956336
81	bodmer_sammlung03_1742	0.31701	-0.03274	0.16058	0.79208	0.62303	0.6656	56760	49098	49098	30713	42	Belletristik	Lyrik; Prosa	1742	Zürich	Hartknoch	-0.888939852134917	1.14048749284135	-0.614285105175855
82	bodmer_sammlung04_1742	0.30908	0.00036	0.14868	0.79658	0.63933	0.66478	22696	19011	19011	13512	301	Belletristik	Lyrik; Prosa	1742	Zürich	Teubner	-0.965651284005017	1.38630103860433	-0.748957749424332
83	bodmer_sammlung05_1742	0.339	-0.04453	0.18608	0.77016	0.61855	0.66612	24999	21346	21346	15587	30	Belletristik	Lyrik; Prosa	1742	Zürich	Unger	-0.676217987466129	1.05293034164662	-0.325700867500546
84	bodmer_sammlung06_1742	0.32068	-0.00991	0.14189	0.78749	0.62744	0.65963	33982	28943	28943	20618	65	Belletristik	Lyrik; Prosa	1742	Zürich	Waisenhaus	-0.853437840159726	1.31003200189781	-0.825800375848464
85	bodmer_sammlung07_1743	0.41163	-0.0726	0.17603	0.78993	0.62561	0.67787	22017	19155	19155	13551	3	Belletristik	Lyrik; Prosa	1743	Zürich	s. e.	0.0263736010238254	0.844471543170279	-0.439437008231403
86	bodmer_sammlung08_1743	0.36364	-0.03086	0.16229	0.81626	0.6552	0.6809	22458	19108	19108	13970	31	Belletristik	Lyrik; Prosa	1743	Zürich	Wilmans	-0.437861155022339	1.1544491081294	-0.594932985708217
87	bodmer_sammlung09_1743	0.37192	-0.04594	0.16277	0.83717	0.67204	0.69153	26149	22194	22194	15837	56	Belletristik	Lyrik; Prosa	1743	Zürich	Rhete	-0.35776397269139	1.04245913018058	-0.589500811822564
88	bodmer_sammlung10_1743	0.36118	-0.02515	0.15842	0.80559	0.66039	0.66545	31950	26985	26985	20546	235	Belletristik	Lyrik; Prosa	1743	Zürich	Hemmerde	-0.461658143975737	1.19685380137129	-0.638729887661293
89	bodmer_sammlung11_1743	0.34892	-0.01989	0.15318	0.82121	0.67213	0.6931	20971	18289	18289	13329	13	Belletristik	Lyrik; Prosa	1743	Zürich	Brockhaus	-0.580256145832915	1.23591661861338	-0.698031119246336
90	bodmer_sammlung12_1744	0.34337	-0.0346	0.14805	0.78165	0.64008	0.66909	21558	18631	18631	13747	68	Belletristik	Lyrik; Prosa	1744	Zürich	Köhler	-0.633944474569239	1.12667440537552	-0.756087477649252
91	boeheim_waffenkunde_1890	0.42469	-0.34234	0.2275	0.69967	0.52649	0.69017	191610	157390	157390	94818	3069	Fachtext	Militär	1890	Leipzig	Wendler	0.152710461077231	-1.15872319502026	0.143050470715583
92	boehmemi_viehartzney_1712	0.26587	-0.24316	0.24215	0.76022	0.83095	0.8424	11979	10130	10130	7219	3	Fachtext	Tierheilkunde	1712	s. l.	Bergen	-1.38364636232873	-0.422173724664591	0.30884494451728
93	boelsche_liebesleben01_1898	0.41292	-0.23669	0.22673	0.68259	0.59451	0.74497	128043	109995	109995	75903	66	Fachtext	Biologie	1898	Florenz;Leipzig	Grosse	0.0388525098652415	-0.374124974178594	0.134336358440681
94	boerne_paris01_1832	0.49499	-0.30545	0.34873	0.82147	0.72495	0.72806	46746	39609	39609	29266	117	Belletristik	Prosa	1832	Hamburg	Nicolai	0.832762625070674	-0.884763626947858	1.51501388771079
95	boerne_paris02_1832	0.49704	-0.29985	0.34836	0.83591	0.73475	0.73565	44919	37944	37944	27868	76	Belletristik	Prosa	1832	Hamburg	Weidmann	0.852593449198505	-0.843175836728139	1.51082658700726
96	boerne_paris03_1833	0.48317	-0.29226	0.3374	0.83689	0.74839	0.73012	47530	40249	40249	28960	90	Belletristik	Prosa	1833	Paris	Weidmann	0.718420995221421	-0.786809528198199	1.38679194995152
97	boerne_paris04_1833	0.49542	-0.27045	0.35923	0.83946	0.74483	0.72642	56335	47253	47253	34179	84	Belletristik	Prosa	1833	Offenbach	Tschorn	0.836922261351146	-0.624839938074614	1.63384269145944
98	boerne_paris05_1834	0.49941	-0.30594	0.34466	0.83539	0.74474	0.73012	44111	37776	37776	27192	70	Belletristik	Prosa	1834	Paris	Weidmann	0.875519816604828	-0.888402558592083	1.46895357997202
99	boerne_paris06_1834	0.5012	-0.3071	0.33478	0.84748	0.74692	0.72763	44806	38359	38359	27432	62	Belletristik	Prosa	1834	Paris	Reissner	0.892835511818886	-0.897017172280454	1.357141334159
100	bohse_helicon_1696	0.28196	-0.00441	0.11302	0.78301	0.70039	0.735	127249	109071	109071	78906	216	Gebrauchsliteratur	Kalender	1696	Leipzig	Gleditsch	-1.22799857685711	1.35087715300646	-1.15252300101263
101	boltzmann_gastheorie01_1896	0.37106	-0.28399	0.22013	0.67922	0.51168	0.63424	62536	51484	51484	33442	1175	Fachtext	Physik	1896	Leipzig	s. e.	-0.366083245252334	-0.725393273713006	0.0596439675129545
102	boltzmann_gastheorie02_1898	0.38286	-0.2919	0.23313	0.66967	0.52124	0.62151	85077	70475	70475	45090	1940	Fachtext	Physik	1898	Leipzig	Weygand	-0.251935086857987	-0.784136027398359	0.20676534358272
103	bose_electricitaet_1744	0.39824	-0.09143	0.11096	0.83986	0.72214	0.6697	8361	6835	6835	5004	32	N.A.	N.A.	1744	Wittenberg	Hechtel	-0.103155538035523	0.704632598556474	-1.17583608060522
104	bossmann_gvinea_1708	0.23113	-0.01449	0.13699	0.79553	0.77441	0.74747	160650	140779	140779	107041	96	Belletristik	Reiseliteratur	1708	Hamburg	Geßner	-1.71970627949988	1.27601913061097	-0.881253817597836
105	braeker_lebensgeschichte_1789	0.46911	-0.11774	0.338	0.8321	0.75326	0.76343	82619	68848	68848	52163	157	Belletristik	(Auto)biographie	1789	Zürich	Barth	0.582410562422732	0.509244248434902	1.39358216730859
106	braeuner_pest_1714	0.17453	-0.01891	0.11006	0.8051	0.78988	0.79874	90565	73640	73640	48699	539	Fachtext	Medizin	1714	Frankfurt (Main)	Voß	-2.26723049688294	1.24319448190184	-1.18602140664082
107	brandes_naturlehre01_1830	0.46057	-0.48251	0.29889	0.74951	0.65954	0.69062	143363	122831	122831	86611	1743	Fachtext	Physik	1830	Leipzig	Vieweg	0.499798251178009	-2.19968043700205	0.950973165917163
108	brandes_naturlehre02_1831	0.47472	-0.50936	0.28178	0.74954	0.67601	0.68466	141315	122250	122250	87138	825	Fachtext	Physik	1831	Leipzig	Decker	0.636679305523773	-2.39907903832338	0.757338800951495
109	brandes_naturlehre03_1832	0.44355	-0.47825	0.30604	0.7447	0.66316	0.6881	201546	174706	174706	121315	1534	Fachtext	Physik	1832	Leipzig	Weidmann	0.335154043053281	-2.16804401087062	1.03188992275553
110	braun_vagabundenfrage_1883	0.4066	-0.18918	0.2968	0.71943	0.61389	0.70064	11876	10098	10098	6929	70	Fachtext	Politik	1883	Berlin	Weygand	-0.0222844698849514	-0.0212971325109422	0.927320575456716
111	brehm_thierleben01_1864	0.27406	-0.16871	0.17985	0.82142	0.69605	0.78688	488979	424462	424462	304787	594	Fachtext	Zoologie	1864	Hildburghausen	Heyer	-1.30441980154485	0.130721093524352	-0.396205957724749
112	brehm_thierleben02_1865	0.28572	-0.21249	0.14868	0.80429	0.68903	0.77354	591235	505831	505831	355609	4108	Fachtext	Zoologie	1865	Hildburghausen	Gleditsch;Selbstverlag;Zunkel	-1.19162594333484	-0.194406309300523	-0.748957749424332
113	brehm_thierleben03_1866	0.29896	-0.22897	0.16827	0.79909	0.68788	0.77258	628434	533153	533153	367733	4041	Fachtext	Zoologie	1866	Hildburghausen	Herold	-1.06354784018729	-0.316793234804267	-0.527257152716124
114	brehm_thierleben04_1867	0.29155	-0.23616	0.16362	0.79038	0.68214	0.7602	676095	570411	570411	393308	5482	Fachtext	Zoologie	1867	Hildburghausen	Brühl	-1.13522901422984	-0.370188986889942	-0.579881337233387
115	brehm_thierleben05_1869	0.28127	-0.22278	0.12764	0.81279	0.68755	0.77199	510591	433634	433634	295452	4805	Fachtext	Zoologie	1869	Hildburghausen	Mohr u: Zimmer	-1.23467334205136	-0.270823873829256	-0.987068038078783
116	brehm_thierleben06_1869	0.30882	-0.28285	0.12019	0.77538	0.65999	0.73462	686259	579651	579651	382092	8534	Fachtext	Zoologie	1869	Hildburghausen	Kriele	-0.968166412918791	-0.716927187846849	-1.07137990359569
117	brentano_gockel_1838	0.58933	-0.38096	0.35527	0.84383	0.75788	0.75573	117786	99650	99650	71698	41	Belletristik	Prosa	1838	Frankfurt	Endter	1.74536747786074	-1.44553041971411	1.58902725690281
