Versfuß	0.84	0.27	0.36
Photograph	0.95	-0.53	0.43
nebeneinanderstellen	-0.11	0.73	0.39
christ	-0.4	0.59	0.38
aufzuwendend	0.91	0.11	0.44
Glandul	-0.7	0.63	0.06
614	0.57	0.1	0.3
Schonzeit	-0.1	0.26	0.16
rotgrün	0.14	-0.23	0.07
irgend	1.22	-0.6	0.64
Haus	1.78	-0.59	0.53
Zentralgewalt	1.04	0.11	0.71
Fischbrut	-0.49	-0.03	0.29
Stanislas	1.25	0.13	0.33
Herumdrehen	0.08	-0.89	0.45
Verschwindende	-0.03	-0.4	0.11
Akropolis	0.4	-0.05	-0.19
Bärenfell	0.41	-1.01	0.65
Mailändische	0.83	0.42	0.16
Kür	1.23	-0.04	0.34
Einmut	1.5	0.63	0.67
Tamui	0.14	-0.09	0.2
nefas	-0.4	0.66	0.24
Glaubenspartei	-0.55	0.68	0.28
durchschmettern	0.09	0.12	-0.03
1169	-0.4	0.91	0.02
Schienenknochen	-0.19	-0.18	0.61
Noi	-0.28	0.41	0.02
2:29	0.19	0.02	0.34
außerpreußisch	0.01	-0.08	0.12
Ordenshaus	0.45	-0.22	-0.01
Militairbeamten	-1.05	0.41	-0.12
2--4	0.01	-0.69	0.31
zurückerhalten	0.48	0.23	0.22
weltumfaßend	1.23	0.46	0.49
Morgenstern	1.9	-0.82	-0.36
einfuhr-	0.82	-0.21	0.42
Abseite	-0.81	0.96	0.12
stagnierend	-0.04	-0.17	-0.55
Moebius	0.28	0.15	0.4
Rückforderung	-0.18	0.46	0.09
verkriechen	-0.33	0.01	-0.14
kniend	-0.09	0.07	0.02
liche	-0.12	0.43	0.18
Rehkalbchen	0.92	-0.78	0.79
Beseler	0.42	-0.55	0.12
hebd.	0.01	0.25	0.25
Hauptsach	-0.27	0.72	0.34
15--30	0.38	-0.96	0.47
aliam	0.07	0.02	0.27
Uriel	1.16	-0.55	0.04
0,51	0.65	-0.72	0.45
höchstselten	-0.81	1.13	0.23
Verkrüppelung	-0.85	0.91	-0.13
Mühlerad	-0.11	0.29	-0.03
Viehhaltung	-0.18	0.11	0.04
strich-	0.49	-0.69	0.23
Detri	0.12	-0.01	0.2
Staroperation	1.12	-0.09	0.22
Stacheltier	0.56	-0.36	0.68
Sachlage	-0.16	-0.17	0.32
mœurs	0.15	0.41	0.44
juger	0.13	0.41	0.43
Tagschmetterling	-0.6	0.1	0.32
Egypter	-0.4	0.43	0.0
Aufrichte	0.3	-0.45	0.44
Bremische	0.31	-0.45	-0.03
Psychophysik	0.77	-0.2	0.56
Verdruß	-1.48	1.18	-0.12
Tafel	0.67	-1.21	0.74
unreizbar	-1.18	0.68	-0.33
Apollodienst	0.51	0.12	0.25
Geoacht	0.84	0.02	0.48
1841	0.92	-0.5	0.18
begnadet	1.57	0.23	0.28
Geldlohn	-0.41	0.5	0.13
Rauschen	0.38	0.44	-0.14
Zahnsubstanz	-0.45	-0.19	0.06
Blutgefäßsystem	-0.68	0.28	-0.03
Brautnacht	0.42	0.62	0.16
Markung	1.1	-1.32	0.48
Bundespflicht	-0.58	0.79	0.13
humaine	0.9	0.05	0.53
Scarpa	-0.57	-0.06	-0.1
Liebeswort	1.31	0.02	0.49
Simeons	0.85	0.45	0.26
Menschenangesicht	0.48	0.27	0.01
Dillon	-0.81	0.9	-0.04
ungeziert	0.86	-0.29	0.34
brit.	0.49	-0.14	0.35
flagrant	-2.17	1.62	-0.33
Grundherr	0.91	-0.41	0.42
Kompilation	0.56	-0.38	0.3
Quano	0.7	-0.5	-0.06
teuflisch	-1.81	1.68	-0.31
mortui	-0.29	0.68	0.13
Aver	0.44	-0.12	0.47
geziert	1.11	-1.07	0.65
Straße	1.24	-1.25	0.2
Konventikel	-0.29	0.24	0.05
Knesebeck	1.17	-0.26	0.58
Europe	0.14	0.51	0.39
Unke	0.16	-0.04	0.24
Hannchen	1.1	-0.03	0.56
Belle-Alliance	-0.15	0.7	0.05
Widerruflichkeit	-0.78	1.01	0.01
Dr	0.46	-0.17	-0.02
Sessionstisch	0.33	-0.71	-0.13
Kongregationalist	0.47	0.04	0.3
Xuthus	-0.3	0.97	-0.02
algun	-0.5	0.76	0.23
Renal.	-0.19	0.33	0.13
Verblichene	0.13	0.17	0.07
Verdampfungskraft	0.58	-0.62	0.3
0,44	0.16	-0.79	0.44
projet	0.34	0.58	0.53
Dachfenster	0.56	-1.33	0.54
erkundigen	0.8	0.22	0.52
Kaltfrischen	-0.23	0.31	0.16
Armbrust	-0.77	0.33	0.16
Augenhöhle	0.02	-0.38	0.31
ineinandergreifen	0.34	-0.17	0.59
patrio	-0.25	0.28	0.4
159	-0.0	0.01	0.2
Masgebung	0.69	-0.38	0.38
Merle	0.66	-0.45	0.52
Gluchsen	0.18	0.69	0.25
Götzentempel	1.01	-0.94	0.39
medizinisch	0.75	-0.38	-0.12
arter.	-0.29	0.06	0.05
Zehrung	1.23	-0.6	0.67
1/2"	-0.13	-0.52	0.26
Schuhware	0.77	-0.85	0.61
Normalziegel	0.35	-0.6	0.21
Gerichts-Zwang	-0.25	0.45	0.08
Abschn.	0.38	-0.05	0.13
treaties	0.32	-0.29	0.57
äschern	0.47	-0.58	0.41
7.	1.08	-0.75	0.49
Bruttafel	-0.21	-0.64	0.32
Notenblatt	0.52	-1.09	0.68
Stuckhütte	0.61	-0.4	0.35
unverlierbar	1.3	0.19	0.96
Reichsgesäze	-0.25	0.48	0.26
poids	0.43	0.43	0.61
Goldgrund	1.28	-1.01	0.48
Türkin	0.16	0.04	0.36
aufgesperrt	-0.18	0.38	0.22
Frühlingsbote	1.57	-0.92	0.09
leidig	-1.89	1.04	-0.47
Hägung	-0.43	0.37	-0.01
Schenkenländechen	0.72	-0.14	0.13
fingerlang	-0.52	-0.22	0.2
Braunfisch	-0.31	0.04	0.34
Überwinder	-0.79	1.23	-0.12
umherliegen	0.21	-0.82	0.45
perlmutterglänzend	0.0	-0.69	0.27
Wappenzeichen	0.87	-0.24	0.32
Vorgebürge	1.45	-0.96	-0.11
Nc	0.33	-0.38	0.46
erhängen	-1.57	1.14	-0.36
absolutistisch	-0.03	0.55	0.28
bruselas	-0.22	0.37	0.3
vordrängend	-0.69	1.03	0.26
Vorjetzt	0.72	-0.23	0.43
ionisch	1.27	-0.62	0.32
aufhetzen	-1.53	1.51	-0.13
ungestillt	-1.2	0.8	-0.34
Förmig	0.29	-0.42	0.2
Nord.	-0.39	0.57	0.2
cose	0.07	0.02	0.6
provinciam	0.08	0.32	0.46
Urversammlung	-0.73	0.56	0.08
Pfefferfresser	0.45	-0.53	0.56
Weideplatz	1.08	-1.31	0.34
Renommisterei	-1.29	0.81	0.2
geflickt	0.3	-0.74	0.53
Freycinet	1.1	-0.6	0.25
Gassechen	0.77	-1.17	0.45
zusammenzählen	0.54	-0.17	0.38
Niederdrücken	0.6	-0.48	0.51
Barquesimeto	0.85	-0.38	-0.26
abgekühlt	0.13	-0.73	0.16
Erscheinene	-0.15	0.17	0.16
herodoteischen	0.91	-0.28	0.19
Turngemeinde	0.93	-0.43	0.39
Wirtschaftsapfel	1.79	-0.63	0.81
1731.	0.34	0.18	0.16
Kur-Sachse	0.07	-0.11	0.28
überschreiben	1.16	-0.4	0.72
Kent	1.03	-0.28	0.11
Formtätigkeit	1.67	-0.08	0.52
Kunstsinn	2.31	-0.12	0.76
Kulturperiode	0.62	-0.03	0.31
Hintersteven	0.61	-0.68	0.33
Sep.	0.37	-0.14	0.13
Geburts-Tag	1.04	0.04	0.5
Epaulette	0.19	-0.39	0.49
niedergebiegen	0.24	-0.98	0.08
Gelage	2.22	0.51	0.88
hellsehend	0.81	0.26	0.36
angelehnt	0.66	-1.12	0.59
quesnai	0.51	-0.1	0.18
Abaßa	-0.65	1.05	-0.01
Domenichino	1.04	-0.41	0.31
693	-0.11	0.28	0.34
bittersüß	0.54	0.53	0.3
horizontal-	0.3	-0.37	0.38
allenthalben	0.46	-0.43	0.44
Sühngebrauch	-0.54	0.62	-0.14
Nicht.	-0.22	0.46	0.24
Stimmezettel	-0.67	0.12	-0.03
Madrigal	1.18	-0.28	0.53
Camer	1.07	-0.26	0.8
Kopfhänger	-1.33	0.9	0.14
Brotkrume	0.11	-0.6	0.41
meteorologisch	0.43	-0.27	0.34
1716	0.16	0.13	0.02
num	0.01	0.33	0.12
hermeneutisch	0.32	-0.23	0.43
Fabulist	-0.72	0.16	0.27
capitale	0.07	0.27	0.34
Taro	0.65	-0.06	0.17
Insichgehen	0.06	1.09	0.5
Wachsamkeit	0.04	0.39	0.14
Massenartikel	1.0	-0.61	0.15
Wandeln	1.09	-0.58	0.15
divinitus	-0.05	0.39	0.43
Wörterb.	0.25	-0.38	0.41
reputierlich	0.32	-0.04	0.53
Birkenwaldchen	1.51	-1.46	0.62
taxemäßig	0.01	-0.16	0.09
carpzov	0.34	-0.72	0.39
wernher	-0.59	0.44	0.1
Tatbestand	-0.42	0.43	0.24
kurzerhand	-0.23	0.88	0.11
Winteraufenthalt	1.22	-0.6	0.57
Henr.	-0.37	0.53	0.03
solventem	-0.4	0.45	0.14
Turkmanen	0.58	-0.53	0.02
mokom	-0.4	0.26	0.19
Berghang	0.65	-0.83	-0.39
Falschheit	-1.47	1.47	-0.1
Voy	0.18	0.1	0.21
Nicolovius	1.38	-0.46	0.59
Ste.	0.98	-0.21	0.44
Alethiologie	0.47	-0.19	0.08
Gaukeln	0.48	0.55	0.38
Budgetrecht	0.48	0.18	0.38
her-	0.21	-0.2	0.12
Determinismus	-0.27	0.99	0.52
Mystizismus	0.67	0.47	0.37
Unschöne	0.67	0.5	0.38
zurechen	1.11	-0.59	0.76
Clara	1.57	-0.41	0.41
grasend	0.09	-0.47	-0.01
vorbehaltlich	-0.91	0.4	-0.06
Hosanna	-0.05	0.79	-0.07
Drillsaat	-0.07	-0.46	0.39
xxiii.	0.52	-0.31	0.51
45000	0.93	-0.61	0.47
Nierechen	-0.26	0.12	0.42
Wärmezone	0.76	-0.96	0.27
Denkspruch	0.8	-0.55	0.54
Lichtstreifen	1.56	-0.78	-0.1
Rasenbrust	0.48	-0.93	0.41
Soldat	-0.24	0.27	0.25
Gewahrnehmungsvermögen	-0.02	0.59	0.39
Pachomius	1.21	-0.32	0.51
(φ̄110	0.6	-0.13	0.45
nombre	0.57	0.22	0.58
Hochberg	0.75	-0.29	0.02
individuell	1.55	-0.39	0.45
Pertile	-0.62	0.5	0.13
Konkurrenz	0.45	0.58	0.33
entlarven	-1.82	1.53	-0.49
bauschen	0.42	-1.17	0.61
Herbstsonne	1.36	-1.12	-0.2
Wechselstrom	0.61	-0.45	0.66
Fallen	-0.9	0.9	-0.06
schaffen	1.24	-0.08	0.66
d'autres	0.25	0.39	0.56
Verleugnung	-0.4	1.03	0.39
Breitwaschmaschine	0.31	-0.68	0.47
Lebenstag	0.93	-0.73	0.21
Städter	-0.38	0.6	0.33
vorlügen	-0.44	0.61	0.27
Wiederruf	0.07	0.23	0.36
Lüneburg	0.63	-0.44	0.12
weiß-	0.04	-0.8	0.26
hopfen	0.79	-0.34	0.53
umherschleichen	-1.2	0.57	-0.07
Gepolter	-0.0	0.78	0.12
Ansieden	-0.1	-0.46	0.22
